Mic,MicName,ExchangeCode,ExchangeName
XPHS,"PHILIPPINE STOCK EXCHANGE, INC.",PHS,"Philippine Stock Exchange, Inc"
XMAL,MALTA STOCK EXCHANGE,MLT,Malta Stock Exchange
XCOL,COLOMBO STOCK EXCHANGE,CSE,Colombo Stock Exchange
XBCL,LA BOLSA ELECTRONICA DE CHILE,BEC,Bolsa Electronica de Chile
XSTC,HOCHIMINH STOCK EXCHANGE,HSX,Hochiminh Stock Exchange
XTKS,TOKYO STOCK EXCHANGE,NIK,Nihon Keizai Shimbun (Nikkei)
XDUB,IRISH STOCK EXCHANGE - ALL MARKET,ISE,The Irish Stock Exchange
XCAS,CASABLANCA STOCK EXCHANGE,CAS,Casablanca Stock Exchange
XBOT,BOTSWANA STOCK EXCHANGE,BSM,Botswana Stock Exchange
XNAM,NAMIBIAN STOCK EXCHANGE,NSE,Namibian Stock Exchange
BATS,CBOE BZX U.S. EQUITIES EXCHANGE,BAT,Cboe BZX Exchange
XPRA,PRAGUE STOCK EXCHANGE,PRA,PSE CASH MARKET L1 AND L2
XMAB,MERCADO ABIERTO ELECTRONICO S.A.,MAE,Mercado Abierto Electronico S.A.
XCYS,CYPRUS STOCK EXCHANGE,CYS,Cyprus Stock Exchange
XLIM,BOLSA DE VALORES DE LIMA,LMA,Bolsa de Valores de Lima S.A.
XQUI,BOLSA DE VALORES DE QUITO,QTO,Bolsa de Valores de Quito
XGUA,BOLSA DE VALORES DE GUAYAQUIL,GYQ,Bolsa de Valores de Guayaquil
XNSE,NATIONAL STOCK EXCHANGE OF INDIA,NSI,National Stock Exchange of India
XVAL,BOLSA DE VALENCIA,VAL,Valencia Stock Exchange
XBRA,BRATISLAVA STOCK EXCHANGE,BRA,Bratislava Stock Exchange
ZBUL,BULGARIAN STOCK EXCHANGE - MAIN MARKET,BLG,Bulgarian Stock Exchange - Sofia
XBSE,SPOT REGULATED MARKET - BVB,BUH,Bucharest Stock Exchange
XZAG,ZAGREB STOCK EXCHANGE,ZAG,Zagreb Stock Exchange
XSWX,SIX SWISS EXCHANGE,SWX,SIX Swiss Exchange
XMAD,BOLSA DE MADRID,FDI,Spanish Investment Funds
XBEY,BOURSE DE BEYROUTH - BEIRUT STOCK EXCHANGE,BDB,Beirut Stock Exchange
XLJU,LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET),LJU,Ljubljanska Stock Exchange
MISX,MOSCOW EXCHANGE,MCX,Moscow Interbank Currency Exchange (MICEX)
XDHA,DHAKA STOCK EXCHANGE LTD,DSE,Dhaka Stock Exchange Ltd
XICE,NASDAQ ICELAND HF.,ICX,OMX Nordic Exchange Iceland hf
XRIS,NASDAQ RIGA AS,RIX,The Riga Stock Exchange
XLIT,AB NASDAQ VILNIUS,VLX,National Stock Exchange of Lithuania
XTAL,NASDAQ TALLINN AS,TLX,Joint Baltic Markets
XGHA,GHANA STOCK EXCHANGE,GSE,Ghana Stock Exchange
XKOS,KOREA EXCHANGE (KOSDAQ),KOE,Korea Exchange - KOSDAQ
BVMF,B3 S.A. - BRASIL BOLSA BALCAO,SMA,Sociedade Operadora do Mercado de Ativos
ROCO,TAIPEI EXCHANGE,TWO,Taipei Exchange
XPIC,SAINT-PETERSBURG CURRENCY EXCHANGE,SPC,St Petersburg Currency Exchange
NEON,NEO EXCHANGE - NEO-N (MARKET BY PRICE),NEO,Aequitas NEO-N
XLUS,LUSAKA STOCK EXCHANGE,LUS,Lusaka Stock Exchange
XXXX,"NO MARKET (EG, UNLISTED)",STX,STOXX
XEUR,EUREX DEUTSCHLAND,EUX,Eurex
XSAU,SAUDI STOCK EXCHANGE,SAU,Saudi Arabian Stock Exchange
XKAZ,KAZAKHSTAN STOCK EXCHANGE,KAZ,Kazakhstan Stock Exchange
XCIE,THE INTERNATIONAL STOCK EXCHANGE,CIE,"The Channel Islands Stock Exchange, LBG"
XEMD,MERCADO MEXICANO DE DERIVADOS,MDE,Mercado Mexicano de Derivados-Futures SA de CV
XKRX,KOREA EXCHANGE (STOCK MARKET),KFE,Korea Exchange - KOFEX
XBEL,BELGRADE STOCK EXCHANGE,BEL,Belgrade Stock Exchange
EUWX,EUWAX,EWX,European Warrant Exchange (EUWAX)
XDFM,DUBAI FINANCIAL MARKET,DBX,Dubai Financial Market
OTCM,OTC MARKETS,PNK,US 'Other OTC' and Grey Market
DSMD,QATAR EXCHANGE,DSM,Doha Securities Market
XMSW,MALAWI STOCK EXCHANGE,MLS,Malawi Stock Exchange
XLAT,LATIBEX,LAT,LATIBEX
XTSX,TSX VENTURE EXCHANGE,CVE,TSX Venture Exchange (former Canadian Ventures Exchange)
